,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,,,93333.0
Ordinary Shares Number,15570172.0,14424424.0,13856983.0,13093579.0,
Share Issued,15570172.0,14424424.0,13856983.0,13093579.0,
Total Debt,8201000.0,11786000.0,14844000.0,16612000.0,
Tangible Book Value,203234000.0,343971000.0,493618000.0,644088000.0,
Invested Capital,304772000.0,464219000.0,1063877000.0,1239258000.0,
Working Capital,205730000.0,355785000.0,512560000.0,685670000.0,
Net Tangible Assets,203234000.0,343971000.0,493618000.0,644088000.0,
Capital Lease Obligations,8201000.0,11786000.0,14844000.0,16612000.0,
Common Stock Equity,304772000.0,464219000.0,1063877000.0,1239258000.0,
Total Capitalization,304772000.0,464219000.0,1063877000.0,1239258000.0,
Total Equity Gross Minority Interest,316244000.0,480186000.0,1083851000.0,1260875000.0,
Minority Interest,11472000.0,15967000.0,19974000.0,21617000.0,
Stockholders Equity,304772000.0,464219000.0,1063877000.0,1239258000.0,
Gains Losses Not Affecting Retained Earnings,-15840000.0,-15650000.0,-16969000.0,-6353000.0,
Other Equity Adjustments,-15840000.0,-15650000.0,-16969000.0,-6353000.0,
Treasury Stock,,,,0.0,37568000.0
Retained Earnings,-1965924000.0,-1757778000.0,-1082028000.0,-811284000.0,
Additional Paid In Capital,2286380000.0,2237502000.0,2160108000.0,2054275000.0,
Capital Stock,156000.0,145000.0,2766000.0,2620000.0,
Common Stock,156000.0,145000.0,2766000.0,2620000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,119724000.0,109519000.0,133706000.0,184961000.0,
Total Non Current Liabilities Net Minority Interest,8461000.0,15722000.0,19650000.0,43335000.0,
Other Non Current Liabilities,1170000.0,1425000.0,1574000.0,21586000.0,
Preferred Securities Outside Stock Equity,,,,,0.0
Non Current Deferred Liabilities,2780000.0,6091000.0,6289000.0,7055000.0,
Non Current Deferred Revenue,2780000.0,6091000.0,6289000.0,7055000.0,
Long Term Debt And Capital Lease Obligation,4511000.0,8206000.0,11787000.0,14694000.0,
Long Term Capital Lease Obligation,4511000.0,8206000.0,11787000.0,14694000.0,
Current Liabilities,111263000.0,93797000.0,114056000.0,141626000.0,
Other Current Liabilities,10086000.0,12140000.0,9780000.0,7900000.0,
Current Deferred Liabilities,53232000.0,46365000.0,49505000.0,68841000.0,
Current Deferred Revenue,53232000.0,46365000.0,49505000.0,68841000.0,
Current Debt And Capital Lease Obligation,3690000.0,3580000.0,3057000.0,1918000.0,
Current Capital Lease Obligation,3690000.0,3580000.0,3057000.0,1918000.0,
Pensionand Other Post Retirement Benefit Plans Current,25988000.0,15573000.0,26192000.0,21572000.0,
Payables And Accrued Expenses,18267000.0,16139000.0,25522000.0,41395000.0,
Current Accrued Expenses,13252000.0,11275000.0,18286000.0,29239000.0,
Payables,5015000.0,4864000.0,7236000.0,12156000.0,
Accounts Payable,5015000.0,4864000.0,7236000.0,12156000.0,
Total Assets,435968000.0,589705000.0,1217557000.0,1445836000.0,
Total Non Current Assets,118975000.0,140123000.0,590941000.0,618540000.0,
Other Non Current Assets,3008000.0,2878000.0,2767000.0,2517000.0,
Non Current Deferred Assets,5350000.0,4792000.0,3394000.0,2028000.0,
Investments And Advances,1500000.0,1180000.0,0.0,168000.0,
Long Term Equity Investment,1500000.0,1180000.0,0.0,168000.0,
Investmentsin Joint Venturesat Cost,1500000.0,1180000.0,0.0,168000.0,
Goodwill And Other Intangible Assets,101538000.0,120248000.0,570259000.0,595170000.0,
Other Intangible Assets,101538000.0,120248000.0,134980000.0,152409000.0,
Goodwill,,0.0,435279000.0,442761000.0,193877000.0
Net PPE,7579000.0,11025000.0,14521000.0,18657000.0,
Accumulated Depreciation,-13088000.0,-12799000.0,-12168000.0,-11739000.0,
Gross PPE,20667000.0,23824000.0,26689000.0,30396000.0,
Leases,685000.0,692000.0,692000.0,692000.0,
Other Properties,7203000.0,10453000.0,13509000.0,16422000.0,
Machinery Furniture Equipment,12779000.0,12679000.0,12488000.0,13282000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,316993000.0,449582000.0,626616000.0,827296000.0,
Other Current Assets,11421000.0,14484000.0,19567000.0,20278000.0,
Current Deferred Assets,2513000.0,2262000.0,1394000.0,1697000.0,
Restricted Cash,,,,0.0,1095000.0
Prepaid Assets,,,,20278000.0,14055000.0
Inventory,2858000.0,6652000.0,8737000.0,7530000.0,
Receivables,71885000.0,54146000.0,58372000.0,51375000.0,
Accounts Receivable,71885000.0,54146000.0,58372000.0,51375000.0,
Allowance For Doubtful Accounts Receivable,-7236000.0,-2291000.0,-1884000.0,-1809000.0,
Gross Accounts Receivable,79121000.0,56437000.0,60256000.0,53184000.0,
Cash Cash Equivalents And Short Term Investments,228316000.0,372038000.0,538546000.0,746416000.0,
Other Short Term Investments,,,,0.0,99963000.0
Cash And Cash Equivalents,228316000.0,372038000.0,538546000.0,746416000.0,
