,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-142560000.0,-163591000.0,-202770000.0,-142096000.0,
Repurchase Of Capital Stock,-3000.0,-586000.0,-360000.0,-15038000.0,
Issuance Of Capital Stock,,,0.0,0.0,1018045000.0
Capital Expenditure,-15222000.0,-15248000.0,-10447000.0,-559000.0,
Income Tax Paid Supplemental Data,4105000.0,5003000.0,1723000.0,1587000.0,
End Cash Position,229111000.0,372833000.0,539341000.0,747211000.0,
Beginning Cash Position,372833000.0,539341000.0,747211000.0,942711000.0,
Effect Of Exchange Rate Changes,887000.0,-1144000.0,-305000.0,-84000.0,
Changes In Cash,-144609000.0,-165364000.0,-207565000.0,-195416000.0,
Financing Cash Flow,1381000.0,2147000.0,-3612000.0,5754000.0,
Cash Flow From Continuing Financing Activities,1381000.0,2147000.0,-3612000.0,5754000.0,
Net Other Financing Charges,,,-11495000.0,-1613000.0,-3293000.0
Proceeds From Stock Option Exercised,1384000.0,2733000.0,8243000.0,22405000.0,
Net Preferred Stock Issuance,,,0.0,0.0,146014000.0
Preferred Stock Payments,,,,,0.0
Preferred Stock Issuance,,,0.0,0.0,146014000.0
Net Common Stock Issuance,-3000.0,-586000.0,-360000.0,-15038000.0,
Common Stock Payments,-3000.0,-586000.0,-360000.0,-15038000.0,
Common Stock Issuance,,,0.0,0.0,872031000.0
Investing Cash Flow,-18652000.0,-19168000.0,-11630000.0,-59633000.0,
Cash Flow From Continuing Investing Activities,-18652000.0,-19168000.0,-11630000.0,-59633000.0,
Net Investment Purchase And Sale,0.0,0.0,777000.0,100000000.0,
Sale Of Investment,0.0,389990000.0,500000000.0,100000000.0,
Purchase Of Investment,0.0,-389990000.0,-499223000.0,0.0,
Net Business Purchase And Sale,-3430000.0,-3920000.0,-1960000.0,-159074000.0,
Purchase Of Business,-3430000.0,-3920000.0,-1960000.0,-159074000.0,
Net PPE Purchase And Sale,-119000.0,-192000.0,-292000.0,-559000.0,
Purchase Of PPE,-119000.0,-192000.0,-292000.0,-559000.0,
Capital Expenditure Reported,-15103000.0,-15056000.0,-10155000.0,0.0,
Operating Cash Flow,-127338000.0,-148343000.0,-192323000.0,-141537000.0,
Cash Flow From Continuing Operating Activities,-127338000.0,-148343000.0,-192323000.0,-141537000.0,
Change In Working Capital,-9981000.0,-15507000.0,-28096000.0,-27715000.0,
Change In Other Working Capital,469000.0,-7958000.0,-22510000.0,-11604000.0,
Change In Other Current Liabilities,0.0,0.0,-25000.0,-16705000.0,
Change In Other Current Assets,-217000.0,-76000.0,-235000.0,117000.0,
Change In Payables And Accrued Expense,10277000.0,-17500000.0,4182000.0,5166000.0,
Change In Accrued Expense,10118000.0,-15139000.0,8962000.0,-380000.0,
Change In Payable,159000.0,-2361000.0,-4780000.0,5546000.0,
Change In Account Payable,159000.0,-2361000.0,-4780000.0,5546000.0,
Change In Prepaid Assets,2601000.0,4694000.0,-161000.0,-5775000.0,
Change In Inventory,1901000.0,2085000.0,-1207000.0,1598000.0,
Change In Receivables,-25012000.0,3248000.0,-8140000.0,-512000.0,
Changes In Account Receivables,-25012000.0,3248000.0,-8140000.0,-512000.0,
Other Non Cash Items,2916000.0,2693000.0,13443000.0,5461000.0,
Stock Based Compensation,47542000.0,72246000.0,67675000.0,43809000.0,
Provisionand Write Offof Assets,7090000.0,1057000.0,806000.0,714000.0,
Asset Impairment Charge,1893000.0,436479000.0,0.0,0.0,
Deferred Tax,-243000.0,-242000.0,-2524000.0,-6245000.0,
Deferred Income Tax,-243000.0,-242000.0,-2524000.0,-6245000.0,
Depreciation Amortization Depletion,32973000.0,31512000.0,26167000.0,16089000.0,
Depreciation And Amortization,32973000.0,31512000.0,26167000.0,16089000.0,
Operating Gains Losses,3110000.0,2590000.0,2278000.0,3132000.0,
Earnings Losses From Equity Investments,3110000.0,2590000.0,2278000.0,3132000.0,
Net Income From Continuing Operations,-212638000.0,-679171000.0,-272072000.0,-176782000.0,
