,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-91660590.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.03,
Normalized EBITDA,-184559000.0,212327000.0,-249686000.0,-163057000.0,
Total Unusual Items,0.0,-436479000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,-436479000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-208143000.0,-675164000.0,-270429000.0,-176334000.0,
Reconciled Depreciation,32973000.0,31512000.0,26167000.0,16089000.0,
Reconciled Cost Of Revenue,155414000.0,164267000.0,160408000.0,148474000.0,
EBITDA,-184559000.0,-224152000.0,-249686000.0,-163057000.0,
EBIT,-217534000.0,-255664000.0,-275853000.0,-179146000.0,
Net Interest Income,10757000.0,19422000.0,6123000.0,120000.0,
Interest Income,10757000.0,19422000.0,6123000.0,120000.0,
Normalized Income,-208143000.0,-330345590.0,-270429000.0,-176334000.0,
Net Income From Continuing And Discontinued Operation,-208143000.0,-675164000.0,-270429000.0,-176334000.0,
Total Expenses,471898000.0,514711000.0,553043000.0,431935000.0,
Total Operating Income As Reported,-217534000.0,-692143000.0,-275853000.0,-179146000.0,
Diluted Average Shares,,14212505.0,13712290.0,12703447.0,4952215.0
Basic Average Shares,,14212505.0,13712290.0,12703447.0,4952215.0
Diluted EPS,,-47.5,-19.72,-13.8,-45.4
Basic EPS,,-47.5,-19.72,-13.8,-45.4
Diluted NI Availto Com Stockholders,-208143000.0,-675164000.0,-270429000.0,-176334000.0,
Net Income Common Stockholders,-208143000.0,-675164000.0,-270429000.0,-176334000.0,
Net Income,-208143000.0,-675164000.0,-270429000.0,-176334000.0,
Minority Interests,4495000.0,4007000.0,1643000.0,448000.0,
Net Income Including Noncontrolling Interests,-212638000.0,-679171000.0,-272072000.0,-176782000.0,
Net Income Continuous Operations,-212638000.0,-679171000.0,-272072000.0,-176782000.0,
Earnings From Equity Interest Net Of Tax,-3110000.0,-2590000.0,-2278000.0,-3132000.0,
Tax Provision,2751000.0,3860000.0,64000.0,-5376000.0,
Pretax Income,-206777000.0,-672721000.0,-269730000.0,-179026000.0,
Other Income Expense,,-436479000.0,,,
Special Income Charges,0.0,-436479000.0,0.0,0.0,
Impairment Of Capital Assets,0.0,436479000.0,0.0,0.0,
Net Non Operating Interest Income Expense,10757000.0,19422000.0,6123000.0,120000.0,
Interest Income Non Operating,10757000.0,19422000.0,6123000.0,120000.0,
Operating Income,-217534000.0,-255664000.0,-275853000.0,-179146000.0,
Operating Expense,316486000.0,350424000.0,392621000.0,283461000.0,
Depreciation Amortization Depletion Income Statement,32975000.0,31492000.0,26153000.0,16089000.0,
Depreciation And Amortization In Income Statement,32975000.0,31492000.0,26153000.0,16089000.0,
Research And Development,86065000.0,105827000.0,138487000.0,106594000.0,
Selling General And Administration,197446000.0,213105000.0,227981000.0,160778000.0,
Selling And Marketing Expense,76272000.0,86460000.0,81628000.0,66154000.0,
General And Administrative Expense,121174000.0,126645000.0,146353000.0,94624000.0,
Other Gand A,121174000.0,126645000.0,146353000.0,94624000.0,
Gross Profit,98952000.0,94760000.0,116768000.0,104315000.0,
Cost Of Revenue,155412000.0,164287000.0,160422000.0,148474000.0,
Total Revenue,254364000.0,259047000.0,277190000.0,252789000.0,
Operating Revenue,231999000.0,231846000.0,245269000.0,224871000.0,
