,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,364700000.0,417000000.0,270300000.0,159000000.0,
Repurchase Of Capital Stock,-327200000.0,-273100000.0,-281400000.0,-181300000.0,
Repayment Of Debt,-5000000.0,-596600000.0,-62500000.0,0.0,
Issuance Of Debt,0.0,571800000.0,94000000.0,0.0,
Capital Expenditure,-35300000.0,-39900000.0,-37500000.0,-34700000.0,
Interest Paid Supplemental Data,62600000.0,62100000.0,43700000.0,35200000.0,
Income Tax Paid Supplemental Data,33500000.0,44800000.0,54500000.0,170300000.0,
End Cash Position,205200000.0,175900000.0,70300000.0,529600000.0,
Beginning Cash Position,175900000.0,70300000.0,529600000.0,274400000.0,
Effect Of Exchange Rate Changes,-2200000.0,100000.0,-600000.0,-600000.0,
Changes In Cash,31500000.0,105500000.0,-458700000.0,255800000.0,
Financing Cash Flow,-333200000.0,-310900000.0,-256500000.0,-184400000.0,
Cash Flow From Continuing Financing Activities,-333200000.0,-310900000.0,-256500000.0,-184400000.0,
Net Other Financing Charges,-18200000.0,-31900000.0,-25500000.0,-17400000.0,
Proceeds From Stock Option Exercised,17200000.0,18900000.0,18900000.0,14300000.0,
Net Common Stock Issuance,-327200000.0,-273100000.0,-281400000.0,-181300000.0,
Common Stock Payments,-327200000.0,-273100000.0,-281400000.0,-181300000.0,
Net Issuance Payments Of Debt,-5000000.0,-24800000.0,31500000.0,0.0,
Net Long Term Debt Issuance,-5000000.0,-24800000.0,31500000.0,0.0,
Long Term Debt Payments,-5000000.0,-596600000.0,-62500000.0,0.0,
Long Term Debt Issuance,0.0,571800000.0,94000000.0,0.0,
Investing Cash Flow,-35300000.0,-40500000.0,-510000000.0,246500000.0,
Cash From Discontinued Investing Activities,,,,503800000.0,0.0
Cash Flow From Continuing Investing Activities,-35300000.0,-40500000.0,-510000000.0,246500000.0,
Net Other Investing Changes,,-600000.0,2300000.0,200000.0,-200000.0
Net Business Purchase And Sale,0.0,0.0,-474800000.0,281000000.0,
Sale Of Business,0.0,0.0,9800000.0,503800000.0,
Purchase Of Business,0.0,0.0,-484600000.0,-222800000.0,
Net PPE Purchase And Sale,-35300000.0,-39900000.0,-37500000.0,-34700000.0,
Purchase Of PPE,-35300000.0,-39900000.0,-37500000.0,-34700000.0,
Operating Cash Flow,400000000.0,456900000.0,307800000.0,193700000.0,
Cash Flow From Continuing Operating Activities,400000000.0,456900000.0,307800000.0,193700000.0,
Change In Working Capital,46100000.0,56100000.0,-140700000.0,-128200000.0,
Change In Other Working Capital,-9200000.0,-6400000.0,-45300000.0,-42700000.0,
Change In Other Current Liabilities,,,,,-31000000.0
Change In Other Current Assets,,,,,31400000.0
Change In Payables And Accrued Expense,-23700000.0,-51800000.0,18900000.0,43800000.0,
Change In Accrued Expense,-17100000.0,-49400000.0,11300000.0,67400000.0,
Change In Payable,-6600000.0,-2400000.0,7600000.0,-23600000.0,
Change In Account Payable,-6600000.0,-2400000.0,7600000.0,-23600000.0,
Change In Tax Payable,,,,1700000.0,-300000.0
Change In Income Tax Payable,,,,1700000.0,-300000.0
Change In Prepaid Assets,-8000000.0,3300000.0,2000000.0,-18200000.0,
Change In Receivables,87000000.0,111000000.0,-116300000.0,-111100000.0,
Changes In Account Receivables,87000000.0,111000000.0,-116300000.0,-111100000.0,
Other Non Cash Items,8900000.0,10300000.0,8200000.0,-210600000.0,
Stock Based Compensation,42300000.0,44000000.0,49300000.0,52700000.0,
Deferred Tax,31200000.0,26900000.0,31500000.0,-19700000.0,
Deferred Income Tax,31200000.0,26900000.0,31500000.0,-19700000.0,
Depreciation Amortization Depletion,96300000.0,100300000.0,91400000.0,89600000.0,
Depreciation And Amortization,96300000.0,100300000.0,91400000.0,89600000.0,
Amortization Cash Flow,,71700000.0,65100000.0,,
Amortization Of Intangibles,,71700000.0,65100000.0,,
Depreciation,,27900000.0,26300000.0,,
Net Income From Continuing Operations,175200000.0,219300000.0,268100000.0,409900000.0,
