,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.21,0.221583,0.21,
Normalized EBITDA,113338000.0,117668000.0,105267000.0,50608000.0,
Net Income From Continuing Operation Net Minority Interest,244621000.0,129032000.0,26783000.0,-41459000.0,
Reconciled Depreciation,22103000.0,51241000.0,65988000.0,78234000.0,
Reconciled Cost Of Revenue,228105000.0,260612000.0,252556000.0,249484000.0,
EBITDA,113338000.0,117668000.0,105267000.0,50608000.0,
EBIT,91235000.0,66427000.0,39279000.0,-27626000.0,
Net Interest Income,17634000.0,14873000.0,1032000.0,-9838000.0,
Interest Expense,6075000.0,3841000.0,4872000.0,9838000.0,
Interest Income,23709000.0,18714000.0,5904000.0,,
Normalized Income,244621000.0,129032000.0,26783000.0,-41459000.0,
Net Income From Continuing And Discontinued Operation,244621000.0,129032000.0,26783000.0,-41459000.0,
Total Expenses,1010496000.0,986988000.0,954034000.0,901958000.0,
Total Operating Income As Reported,79634000.0,50753000.0,36840000.0,-27626000.0,
Diluted Average Shares,148643000.0,148586000.0,150192000.0,155598000.0,
Basic Average Shares,144228000.0,144203000.0,143592000.0,155598000.0,
Diluted EPS,1.36,0.67,0.06,-0.35,
Basic EPS,1.4,0.69,0.06,-0.35,
Diluted NI Availto Com Stockholders,201567000.0,99147000.0,8567000.0,-53878000.0,
Net Income Common Stockholders,201567000.0,99147000.0,8567000.0,-53878000.0,
Otherunder Preferred Stock Dividend,25911000.0,12780000.0,1106000.0,0.0,
Preferred Stock Dividends,17143000.0,17105000.0,17110000.0,12419000.0,
Net Income,244621000.0,129032000.0,26783000.0,-41459000.0,
Net Income Including Noncontrolling Interests,244621000.0,129032000.0,26783000.0,-41459000.0,
Net Income Continuous Operations,244621000.0,129032000.0,26783000.0,-41459000.0,
Tax Provision,-159461000.0,-66446000.0,7624000.0,3995000.0,
Pretax Income,85160000.0,62586000.0,34407000.0,-37464000.0,
Other Income Expense,-12108000.0,-3040000.0,-3465000.0,,2426000.0
Other Non Operating Income Expenses,-12108000.0,-3040000.0,-3465000.0,,2426000.0
Net Non Operating Interest Income Expense,17634000.0,14873000.0,1032000.0,-9838000.0,
Total Other Finance Cost,,-11833000.0,2433000.0,9838000.0,4584000.0
Interest Expense Non Operating,6075000.0,3841000.0,4872000.0,9838000.0,
Interest Income Non Operating,23709000.0,18714000.0,5904000.0,,
Operating Income,79634000.0,50753000.0,36840000.0,-27626000.0,
Operating Expense,782391000.0,726376000.0,701478000.0,652474000.0,
Research And Development,264853000.0,248767000.0,243529000.0,218523000.0,
Selling General And Administration,517538000.0,477609000.0,457949000.0,433951000.0,
Selling And Marketing Expense,380154000.0,348638000.0,331400000.0,298635000.0,
General And Administrative Expense,137384000.0,128971000.0,126549000.0,135316000.0,
Other Gand A,137384000.0,128971000.0,126549000.0,135316000.0,
Gross Profit,862025000.0,777129000.0,738318000.0,624848000.0,
Cost Of Revenue,228105000.0,260612000.0,252556000.0,249484000.0,
Total Revenue,1090130000.0,1037741000.0,990874000.0,874332000.0,
Operating Revenue,1090130000.0,1037741000.0,990874000.0,874332000.0,
