,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,198334000.0,46991000.0,-33778000.0,-39419000.0,
Repurchase Of Capital Stock,-83039000.0,-1999000.0,0.0,-22027000.0,
Repayment Of Debt,,,0.0,0.0,-1515000.0
Issuance Of Debt,,0.0,0.0,1193000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,272686000.0,51900000.0
Capital Expenditure,-52750000.0,-26492000.0,-7247000.0,-5007000.0,
Interest Paid Supplemental Data,,,0.0,0.0,10000.0
Income Tax Paid Supplemental Data,7916000.0,1109000.0,636000.0,338000.0,
End Cash Position,221440000.0,97519000.0,47628000.0,72640000.0,
Beginning Cash Position,97519000.0,47628000.0,72640000.0,28350000.0,
Effect Of Exchange Rate Changes,-270000.0,-11000.0,-53000.0,-73000.0,
Changes In Cash,124191000.0,49902000.0,-24959000.0,44363000.0,
Financing Cash Flow,-107845000.0,-11475000.0,-33127000.0,235043000.0,
Cash Flow From Continuing Financing Activities,-107845000.0,-11475000.0,-33127000.0,235043000.0,
Net Other Financing Charges,-55691000.0,-14096000.0,-36551000.0,-18849000.0,
Proceeds From Stock Option Exercised,30885000.0,4620000.0,3424000.0,2040000.0,
Net Preferred Stock Issuance,,,0.0,0.0,51900000.0
Preferred Stock Issuance,,,0.0,0.0,51900000.0
Net Common Stock Issuance,-83039000.0,-1999000.0,0.0,250659000.0,
Common Stock Payments,-83039000.0,-1999000.0,0.0,-22027000.0,
Common Stock Issuance,,0.0,0.0,272686000.0,0.0
Net Issuance Payments Of Debt,,0.0,0.0,1193000.0,-1515000.0
Net Long Term Debt Issuance,,0.0,0.0,1193000.0,-1515000.0
Long Term Debt Payments,,,0.0,0.0,-1515000.0
Long Term Debt Issuance,,0.0,0.0,1193000.0,0.0
Investing Cash Flow,-19048000.0,-12106000.0,34699000.0,-156268000.0,
Cash Flow From Continuing Investing Activities,-19048000.0,-12106000.0,34699000.0,-156268000.0,
Net Investment Purchase And Sale,49101000.0,14386000.0,42405000.0,-104793000.0,
Sale Of Investment,209665000.0,171625000.0,230105000.0,161840000.0,
Purchase Of Investment,-160564000.0,-157239000.0,-187700000.0,-266633000.0,
Net Business Purchase And Sale,-15399000.0,0.0,-459000.0,-46468000.0,
Purchase Of Business,-15399000.0,0.0,-459000.0,-46468000.0,
Net Intangibles Purchase And Sale,-11095000.0,-9272000.0,-4533000.0,-4175000.0,
Purchase Of Intangibles,-11095000.0,-9272000.0,-4533000.0,-4175000.0,
Net PPE Purchase And Sale,-41655000.0,-17220000.0,-2714000.0,-832000.0,
Purchase Of PPE,-41655000.0,-17220000.0,-2714000.0,-832000.0,
Operating Cash Flow,251084000.0,73483000.0,-26531000.0,-34412000.0,
Cash Flow From Continuing Operating Activities,251084000.0,73483000.0,-26531000.0,-34412000.0,
Change In Working Capital,78623000.0,20821000.0,-14195000.0,3455000.0,
Change In Other Working Capital,67552000.0,6261000.0,-1716000.0,1412000.0,
Change In Other Current Liabilities,-2443000.0,-1933000.0,-1605000.0,-1521000.0,
Change In Other Current Assets,-56000.0,-58000.0,17000.0,-58000.0,
Change In Payables And Accrued Expense,64676000.0,23848000.0,3448000.0,10050000.0,
Change In Accrued Expense,23791000.0,16524000.0,909000.0,197000.0,
Change In Payable,40885000.0,7324000.0,2539000.0,9853000.0,
Change In Account Payable,43710000.0,7324000.0,12723000.0,9853000.0,
Change In Prepaid Assets,-9494000.0,-6395000.0,-6335000.0,3200000.0,
Change In Inventory,-41612000.0,-902000.0,-8004000.0,-9628000.0,
Other Non Cash Items,2903000.0,5883000.0,2372000.0,-426000.0,
Stock Based Compensation,92322000.0,66080000.0,42817000.0,67211000.0,
Unrealized Gain Loss On Investment Securities,,,,,-1742713.0
Asset Impairment Charge,114000.0,429000.0,1127000.0,0.0,
Amortization Of Securities,-4355000.0,-5686000.0,146000.0,2166000.0,
Deferred Tax,-61649000.0,-13000.0,-594000.0,-3388000.0,
Deferred Income Tax,-61649000.0,-13000.0,-594000.0,-3388000.0,
Depreciation Amortization Depletion,17088000.0,9515000.0,7474000.0,4075000.0,
Depreciation And Amortization,17088000.0,9515000.0,7474000.0,4075000.0,
Operating Gains Losses,,,,154000.0,37221917.0
Gain Loss On Investment Securities,,,,154000.0,37221917.0
Net Income From Continuing Operations,126038000.0,-23546000.0,-65678000.0,-107659000.0,
