,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.000472,0.028305,
Normalized EBITDA,78991000.0,-19938000.0,-61223000.0,-110967000.0,
Total Unusual Items,,,70000.0,3802000.0,-3101000.0
Total Unusual Items Excluding Goodwill,,,70000.0,3802000.0,-3101000.0
Net Income From Continuing Operation Net Minority Interest,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Reconciled Depreciation,17088000.0,9515000.0,7474000.0,4075000.0,
Reconciled Cost Of Revenue,303379000.0,157051000.0,118194000.0,67384000.0,
EBITDA,78991000.0,-19938000.0,-61223000.0,-110967000.0,
EBIT,61903000.0,-29453000.0,-68697000.0,-115042000.0,
Net Interest Income,,,,0.0,-10000.0
Interest Expense,,,,0.0,10000.0
Normalized Income,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Net Income From Continuing And Discontinued Operation,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Total Expenses,1414611000.0,901453000.0,595613000.0,386920000.0,
Total Operating Income As Reported,61903000.0,-29453000.0,-68697000.0,-115042000.0,
Diluted Average Shares,236808876.0,209344712.0,204516120.0,186781537.0,
Basic Average Shares,215939037.0,209344712.0,204516120.0,186781537.0,
Diluted EPS,0.53,-0.11,-0.32,-0.58,
Basic EPS,0.58,-0.11,-0.32,-0.58,
Diluted NI Availto Com Stockholders,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Net Income Common Stockholders,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Net Income,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Net Income Including Noncontrolling Interests,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Net Income Continuous Operations,126038000.0,-23546000.0,-65678000.0,-107659000.0,
Tax Provision,-54327000.0,1975000.0,-31000.0,-3136000.0,
Pretax Income,71711000.0,-21571000.0,-65709000.0,-110795000.0,
Other Income Expense,9808000.0,7882000.0,2988000.0,4247000.0,
Other Non Operating Income Expenses,9808000.0,7882000.0,2988000.0,4247000.0,
Gain On Sale Of Security,,,70000.0,3802000.0,-3101000.0
Net Non Operating Interest Income Expense,,,,0.0,-10000.0
Interest Expense Non Operating,,,,0.0,10000.0
Operating Income,61903000.0,-29453000.0,-68697000.0,-115042000.0,
Operating Expense,1111232000.0,744402000.0,477419000.0,319536000.0,
Other Operating Expenses,185802000.0,119857000.0,77403000.0,47593000.0,
Research And Development,78819000.0,48227000.0,29237000.0,22379000.0,
Selling General And Administration,846611000.0,576318000.0,370779000.0,249564000.0,
Selling And Marketing Expense,678844000.0,446435000.0,272587000.0,135902000.0,
General And Administrative Expense,167767000.0,129883000.0,98192000.0,113662000.0,
Other Gand A,167767000.0,129883000.0,98192000.0,113662000.0,
Gross Profit,1173135000.0,714949000.0,408722000.0,204494000.0,
Cost Of Revenue,303379000.0,157051000.0,118194000.0,67384000.0,
Total Revenue,1476514000.0,872000000.0,526916000.0,271878000.0,
Operating Revenue,1476514000.0,872000000.0,526916000.0,271878000.0,
