,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,72105407.0,69963649.0,67468433.0,64165136.0,
Ordinary Shares Number,46748213.0,48423992.0,50559576.0,53596929.0,
Share Issued,118853620.0,118387641.0,118028009.0,117762065.0,
Net Debt,443400000.0,421300000.0,347500000.0,270500000.0,
Total Debt,1231800000.0,1325800000.0,1253100000.0,1394100000.0,
Tangible Book Value,75700000.0,116900000.0,269700000.0,215900000.0,
Invested Capital,3078000000.0,3225900000.0,3433800000.0,3640000000.0,
Working Capital,533200000.0,772400000.0,1022700000.0,642200000.0,
Net Tangible Assets,75700000.0,116900000.0,269700000.0,215900000.0,
Capital Lease Obligations,279000000.0,323200000.0,266600000.0,275800000.0,
Common Stock Equity,2125200000.0,2223300000.0,2447300000.0,2521700000.0,
Total Capitalization,3054600000.0,3213800000.0,3407200000.0,3087400000.0,
Total Equity Gross Minority Interest,2126900000.0,2234100000.0,2458100000.0,2531700000.0,
Minority Interest,1700000.0,10800000.0,10800000.0,10000000.0,
Stockholders Equity,2125200000.0,2223300000.0,2447300000.0,2521700000.0,
Gains Losses Not Affecting Retained Earnings,-443000000.0,-466000000.0,-458700000.0,-389400000.0,
Other Equity Adjustments,-443000000.0,-466000000.0,-458700000.0,-389400000.0,
Treasury Stock,4791400000.0,4639800000.0,4447900000.0,4169400000.0,
Retained Earnings,3812300000.0,3813000000.0,3868500000.0,3634600000.0,
Additional Paid In Capital,3546100000.0,3514900000.0,3484200000.0,3444700000.0,
Capital Stock,1200000.0,1200000.0,1200000.0,1200000.0,
Common Stock,1200000.0,1200000.0,1200000.0,1200000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6074100000.0,6596100000.0,6672300000.0,7297200000.0,
Total Non Current Liabilities Net Minority Interest,1637000000.0,1796400000.0,1760600000.0,1516700000.0,
Other Non Current Liabilities,428600000.0,482700000.0,534100000.0,675200000.0,
Long Term Debt And Capital Lease Obligation,1208400000.0,1313700000.0,1226500000.0,841500000.0,
Long Term Capital Lease Obligation,279000000.0,323200000.0,266600000.0,275800000.0,
Long Term Debt,929400000.0,990500000.0,959900000.0,565700000.0,
Current Liabilities,4437100000.0,4799700000.0,4911700000.0,5780500000.0,
Current Debt And Capital Lease Obligation,23400000.0,12100000.0,26600000.0,552600000.0,
Current Debt,23400000.0,12100000.0,26600000.0,552600000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,231800000.0
Payables And Accrued Expenses,4413700000.0,4787600000.0,4885100000.0,5227900000.0,
Current Accrued Expenses,573700000.0,693000000.0,572600000.0,584700000.0,
Payables,3840000000.0,4094600000.0,4312500000.0,4643200000.0,
Other Payable,241100000.0,243100000.0,271700000.0,299400000.0,
Total Tax Payable,986000000.0,1128500000.0,1209400000.0,1304600000.0,
Accounts Payable,2612900000.0,2723000000.0,2831400000.0,3039200000.0,
Total Assets,8201000000.0,8830200000.0,9130400000.0,9828900000.0,
Total Non Current Assets,3230700000.0,3258100000.0,3196000000.0,3406200000.0,
Other Non Current Assets,701500000.0,607800000.0,540500000.0,610200000.0,
Goodwill And Other Intangible Assets,2049500000.0,2106400000.0,2177600000.0,2305800000.0,
Other Intangible Assets,486100000.0,519600000.0,549500000.0,583600000.0,
Goodwill,1563400000.0,1586800000.0,1628100000.0,1722200000.0,
Net PPE,479700000.0,543900000.0,477900000.0,490200000.0,
Accumulated Depreciation,-369800000.0,-396600000.0,-472700000.0,-478100000.0,
Gross PPE,849500000.0,940500000.0,950600000.0,968300000.0,
Leases,230100000.0,243900000.0,281700000.0,288500000.0,
Other Properties,361300000.0,414000000.0,365700000.0,373400000.0,
Machinery Furniture Equipment,251700000.0,275800000.0,296500000.0,299200000.0,
Buildings And Improvements,6000000.0,6400000.0,6300000.0,6700000.0,
Land And Improvements,400000.0,400000.0,400000.0,500000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4970300000.0,5572100000.0,5934400000.0,6422700000.0,
Other Current Assets,163700000.0,160800000.0,158000000.0,126700000.0,
Prepaid Assets,,,,126700000.0,186900000.0
Receivables,4297200000.0,4830000000.0,5137400000.0,5448200000.0,
Accounts Receivable,4297200000.0,4830000000.0,5137400000.0,5448200000.0,
Allowance For Doubtful Accounts Receivable,-67600000.0,-99200000.0,-109300000.0,-121600000.0,
Gross Accounts Receivable,4364800000.0,4929200000.0,5246700000.0,5569800000.0,
Cash Cash Equivalents And Short Term Investments,509400000.0,581300000.0,639000000.0,847800000.0,
Cash And Cash Equivalents,509400000.0,581300000.0,639000000.0,847800000.0,
