,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,258100000.0,270000000.0,347700000.0,580600000.0,
Repurchase Of Capital Stock,-140000000.0,-179800000.0,-270000000.0,-210000000.0,
Repayment Of Debt,-1600000.0,-4400000.0,-487200000.0,-2200000.0,
Issuance Of Debt,3700000.0,1000000.0,421300000.0,75500000.0,
Capital Expenditure,-51100000.0,-78200000.0,-75600000.0,-64200000.0,
Interest Paid Supplemental Data,84900000.0,75900000.0,38200000.0,37000000.0,
Income Tax Paid Supplemental Data,187600000.0,182200000.0,201600000.0,139700000.0,
End Cash Position,509400000.0,581300000.0,639000000.0,847800000.0,
Beginning Cash Position,581300000.0,639000000.0,847800000.0,1567100000.0,
Effect Of Exchange Rate Changes,-30500000.0,17700000.0,-64700000.0,-93400000.0,
Changes In Cash,-41400000.0,-75400000.0,-144100000.0,-625900000.0,
Financing Cash Flow,-282400000.0,-349500000.0,-482100000.0,-283700000.0,
Cash Flow From Continuing Financing Activities,-282400000.0,-349500000.0,-482100000.0,-283700000.0,
Net Other Financing Charges,-3000000.0,-600000.0,-5300000.0,-7500000.0,
Proceeds From Stock Option Exercised,-9700000.0,-8600000.0,-8200000.0,100000.0,
Cash Dividends Paid,-145800000.0,-144300000.0,-139900000.0,-136600000.0,
Common Stock Dividend Paid,-145800000.0,-144300000.0,-139900000.0,-136600000.0,
Net Common Stock Issuance,-140000000.0,-179800000.0,-270000000.0,-210000000.0,
Common Stock Payments,-140000000.0,-179800000.0,-270000000.0,-210000000.0,
Net Issuance Payments Of Debt,16100000.0,-16200000.0,-58700000.0,70300000.0,
Net Short Term Debt Issuance,14000000.0,-12800000.0,7200000.0,-3000000.0,
Net Long Term Debt Issuance,2100000.0,-3400000.0,-65900000.0,73300000.0,
Long Term Debt Payments,-1600000.0,-4400000.0,-487200000.0,-2200000.0,
Long Term Debt Issuance,3700000.0,1000000.0,421300000.0,75500000.0,
Investing Cash Flow,-68200000.0,-74100000.0,-85300000.0,-987000000.0,
Cash Flow From Continuing Investing Activities,-68200000.0,-74100000.0,-85300000.0,-987000000.0,
Net Business Purchase And Sale,-17100000.0,4100000.0,-9700000.0,-922800000.0,
Sale Of Business,2400000.0,4100000.0,6700000.0,1600000.0,
Purchase Of Business,-19500000.0,0.0,-16400000.0,-924400000.0,
Capital Expenditure Reported,-51100000.0,-78200000.0,-75600000.0,-64200000.0,
Operating Cash Flow,309200000.0,348200000.0,423300000.0,644800000.0,
Cash Flow From Continuing Operating Activities,309200000.0,348200000.0,423300000.0,644800000.0,
Change In Working Capital,65400000.0,98700000.0,-139700000.0,135600000.0,
Change In Other Working Capital,,,,,86800000.0
Change In Other Current Liabilities,-79600000.0,-103200000.0,-135100000.0,697500000.0,
Change In Other Current Assets,-131800000.0,-45200000.0,47500000.0,79000000.0,
Change In Payables And Accrued Expense,15700000.0,-144700000.0,-80900000.0,,
Change In Payable,15700000.0,-144700000.0,-80900000.0,,
Change In Account Payable,15700000.0,-144700000.0,-80900000.0,,
Change In Receivables,261100000.0,391800000.0,28800000.0,-640900000.0,
Changes In Account Receivables,261100000.0,391800000.0,28800000.0,-640900000.0,
Stock Based Compensation,27300000.0,28700000.0,37600000.0,36800000.0,
Provisionand Write Offof Assets,9000000.0,5400000.0,6200000.0,17900000.0,
Asset Impairment Charge,0.0,57300000.0,50000000.0,0.0,
Deferred Tax,-32400000.0,-20600000.0,4800000.0,-1300000.0,
Deferred Income Tax,-32400000.0,-20600000.0,4800000.0,-1300000.0,
Depreciation Amortization Depletion,86600000.0,88600000.0,84600000.0,73400000.0,
Depreciation And Amortization,86600000.0,88600000.0,84600000.0,73400000.0,
Operating Gains Losses,8200000.0,1300000.0,6000000.0,,
Gain Loss On Sale Of Business,8200000.0,1300000.0,6000000.0,0.0,
Net Income From Continuing Operations,145100000.0,88800000.0,373800000.0,382400000.0,
