,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,2331002.0,,,
Ordinary Shares Number,92737185.0,91178671.0,86758380.0,82882424.0
Share Issued,95068187.0,91178671.0,86758380.0,82882424.0
Net Debt,85019000.0,8889000.0,,
Total Debt,461019000.0,301516000.0,307618000.0,249332000.0
Tangible Book Value,1583000.0,84892000.0,171716000.0,267968000.0
Invested Capital,619630000.0,523886000.0,548044000.0,584255000.0
Working Capital,421543000.0,329259000.0,418094000.0,465620000.0
Net Tangible Assets,1583000.0,84892000.0,171716000.0,267968000.0
Capital Lease Obligations,12989000.0,18608000.0,26549000.0,31804000.0
Common Stock Equity,171600000.0,240978000.0,266975000.0,366727000.0
Total Capitalization,619630000.0,523886000.0,548044000.0,584255000.0
Total Equity Gross Minority Interest,178893000.0,242086000.0,266975000.0,366727000.0
Minority Interest,7293000.0,1108000.0,0.0,
Stockholders Equity,171600000.0,240978000.0,266975000.0,366727000.0
Gains Losses Not Affecting Retained Earnings,-733000.0,-1592000.0,-669000.0,343000.0
Other Equity Adjustments,-733000.0,-1592000.0,-669000.0,343000.0
Treasury Stock,50000000.0,0.0,,
Retained Earnings,-552435000.0,-477246000.0,-348823000.0,-248110000.0
Additional Paid In Capital,774768000.0,719816000.0,616467000.0,614494000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,746413000.0,575787000.0,539473000.0,428716000.0
Total Non Current Liabilities Net Minority Interest,464758000.0,304710000.0,312483000.0,256022000.0
Other Non Current Liabilities,5280000.0,4184000.0,3159000.0,5666000.0
Non Current Deferred Liabilities,4639000.0,4914000.0,7343000.0,6286000.0
Non Current Deferred Revenue,4639000.0,4914000.0,7343000.0,6286000.0
Long Term Debt And Capital Lease Obligation,454839000.0,295612000.0,301981000.0,244070000.0
Long Term Capital Lease Obligation,6809000.0,12704000.0,20912000.0,26542000.0
Long Term Debt,448030000.0,282908000.0,281069000.0,217528000.0
Current Liabilities,281655000.0,271077000.0,226990000.0,172694000.0
Current Deferred Liabilities,223522000.0,204137000.0,162881000.0,123686000.0
Current Deferred Revenue,223522000.0,204137000.0,162881000.0,123686000.0
Current Debt And Capital Lease Obligation,6180000.0,5904000.0,5637000.0,5262000.0
Current Capital Lease Obligation,6180000.0,5904000.0,5637000.0,5262000.0
Pensionand Other Post Retirement Benefit Plans Current,30239000.0,41834000.0,35327000.0,28372000.0
Payables And Accrued Expenses,21714000.0,19202000.0,23145000.0,15374000.0
Current Accrued Expenses,14465000.0,10093000.0,12584000.0,8277000.0
Payables,7249000.0,9109000.0,10561000.0,7097000.0
Total Tax Payable,1007000.0,1711000.0,1056000.0,1350000.0
Accounts Payable,6242000.0,7398000.0,9505000.0,5747000.0
Total Assets,925306000.0,817873000.0,806448000.0,795443000.0
Total Non Current Assets,222108000.0,217537000.0,161364000.0,157129000.0
Other Non Current Assets,5552000.0,1364000.0,1490000.0,1783000.0
Non Current Deferred Assets,25118000.0,27715000.0,26159000.0,19257000.0
Goodwill And Other Intangible Assets,170017000.0,156086000.0,95259000.0,98759000.0
Other Intangible Assets,32616000.0,37224000.0,23133000.0,26633000.0
Goodwill,137401000.0,118862000.0,72126000.0,72126000.0
Net PPE,21421000.0,32372000.0,38456000.0,37330000.0
Accumulated Depreciation,-25083000.0,-22322000.0,-15468000.0,-11062000.0
Gross PPE,46504000.0,54694000.0,53924000.0,48392000.0
Leases,11334000.0,15585000.0,15392000.0,12767000.0
Other Properties,3789000.0,13982000.0,20227000.0,24691000.0
Machinery Furniture Equipment,31381000.0,25127000.0,18305000.0,10934000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,703198000.0,600336000.0,645084000.0,638314000.0
Other Current Assets,12094000.0,13350000.0,9777000.0,10587000.0
Current Deferred Assets,19502000.0,18674000.0,16672000.0,12330000.0
Prepaid Assets,,,9777000.0,10587000.0
Receivables,100413000.0,91345000.0,75279000.0,55119000.0
Accounts Receivable,100413000.0,91345000.0,75279000.0,55119000.0
Allowance For Doubtful Accounts Receivable,-1382000.0,-2014000.0,-1809000.0,-1188000.0
Gross Accounts Receivable,101795000.0,93359000.0,77088000.0,56307000.0
Cash Cash Equivalents And Short Term Investments,571189000.0,476967000.0,543356000.0,560278000.0
Other Short Term Investments,208178000.0,202948000.0,193571000.0,221112000.0
Cash And Cash Equivalents,363011000.0,274019000.0,349785000.0,339166000.0
Cash Equivalents,307275000.0,206868000.0,81694000.0,154858000.0
Cash Financial,55736000.0,67151000.0,268091000.0,184308000.0
