,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,64426000.0,8507000.0,-12831000.0,5247000.0
Repurchase Of Capital Stock,-50000000.0,0.0,0.0,
Repayment Of Debt,-223675000.0,0.0,0.0,
Issuance Of Debt,390831000.0,0.0,0.0,278198000.0
Issuance Of Capital Stock,,,0.0,0.0
Capital Expenditure,-7548000.0,-8473000.0,-6810000.0,-4848000.0
Interest Paid Supplemental Data,2971000.0,3594000.0,1797000.0,4000.0
Income Tax Paid Supplemental Data,908000.0,168000.0,324000.0,1857000.0
End Cash Position,366667000.0,274019000.0,349785000.0,339166000.0
Beginning Cash Position,274019000.0,349785000.0,339166000.0,124024000.0
Effect Of Exchange Rate Changes,-401000.0,-168000.0,0.0,0.0
Changes In Cash,93049000.0,-75598000.0,10619000.0,215142000.0
Financing Cash Flow,51600000.0,-6413000.0,-736000.0,254367000.0
Cash Flow From Continuing Financing Activities,51600000.0,-6413000.0,-736000.0,254367000.0
Net Other Financing Charges,-85721000.0,-26769000.0,-23586000.0,-43915000.0
Proceeds From Stock Option Exercised,20165000.0,20356000.0,22850000.0,20084000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,-50000000.0,0.0,0.0,0.0
Common Stock Payments,-50000000.0,0.0,0.0,
Common Stock Issuance,,,0.0,0.0
Net Issuance Payments Of Debt,167156000.0,0.0,0.0,278198000.0
Net Long Term Debt Issuance,167156000.0,0.0,0.0,278198000.0
Long Term Debt Payments,-223675000.0,0.0,0.0,
Long Term Debt Issuance,390831000.0,0.0,0.0,278198000.0
Investing Cash Flow,-30525000.0,-86165000.0,17376000.0,-49320000.0
Cash Flow From Continuing Investing Activities,-30525000.0,-86165000.0,17376000.0,-49320000.0
Net Other Investing Changes,,-1845000.0,,
Net Investment Purchase And Sale,1094000.0,-9585000.0,24346000.0,5184000.0
Sale Of Investment,218264000.0,202625000.0,221439000.0,227226000.0
Purchase Of Investment,-217170000.0,-212210000.0,-197093000.0,-222042000.0
Net Business Purchase And Sale,-24071000.0,-66262000.0,-160000.0,-49656000.0
Purchase Of Business,-24071000.0,-66262000.0,-160000.0,-49656000.0
Net Intangibles Purchase And Sale,,,,-810000.0
Purchase Of Intangibles,,,,-810000.0
Net PPE Purchase And Sale,-2164000.0,-4637000.0,-3457000.0,-4038000.0
Purchase Of PPE,-2164000.0,-4637000.0,-3457000.0,-4038000.0
Capital Expenditure Reported,-5384000.0,-3836000.0,-3353000.0,-810000.0
Operating Cash Flow,71974000.0,16980000.0,-6021000.0,10095000.0
Cash Flow From Continuing Operating Activities,71974000.0,16980000.0,-6021000.0,10095000.0
Change In Working Capital,-26495000.0,-6801000.0,-1917000.0,4796000.0
Change In Other Working Capital,-726000.0,15166000.0,14085000.0,17847000.0
Change In Other Current Liabilities,-5974000.0,-5768000.0,-5255000.0,-4082000.0
Change In Payables And Accrued Expense,-9133000.0,3230000.0,9568000.0,10690000.0
Change In Accrued Expense,-7680000.0,4703000.0,6667000.0,10374000.0
Change In Payable,-1453000.0,-1473000.0,2901000.0,316000.0
Change In Account Payable,-1453000.0,-1473000.0,2901000.0,316000.0
Change In Prepaid Assets,0.0,-2843000.0,1279000.0,-2022000.0
Change In Receivables,-10662000.0,-16586000.0,-21594000.0,-17637000.0
Changes In Account Receivables,-10662000.0,-16586000.0,-21594000.0,-17637000.0
Other Non Cash Items,23862000.0,27000000.0,24962000.0,25701000.0
Stock Based Compensation,127152000.0,109907000.0,70033000.0,43231000.0
Asset Impairment Charge,8368000.0,0.0,0.0,
Deferred Tax,0.0,-1330000.0,0.0,0.0
Deferred Income Tax,0.0,-1330000.0,0.0,0.0
Depreciation Amortization Depletion,20153000.0,17429000.0,8356000.0,5270000.0
Depreciation And Amortization,20153000.0,17429000.0,8356000.0,5270000.0
Operating Gains Losses,-3699000.0,,,
Net Income From Continuing Operations,-77367000.0,-129225000.0,-107455000.0,-68903000.0
