,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,573.644012,0.0,0.0,0.0
Tax Rate For Calcs,0.000155,0.006451,0.21,0.053647
Normalized EBITDA,-56503000.0,-109041000.0,-94970000.0,-58278000.0
Total Unusual Items,3699000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,3699000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-75189000.0,-128423000.0,-107455000.0,-68903000.0
Reconciled Depreciation,20153000.0,17429000.0,8356000.0,5270000.0
Reconciled Cost Of Revenue,77832000.0,70434000.0,48361000.0,30686000.0
EBITDA,-52804000.0,-109041000.0,-94970000.0,-58278000.0
EBIT,-72957000.0,-126470000.0,-103326000.0,-63548000.0
Net Interest Income,15601000.0,-50000.0,-4636000.0,-5733000.0
Interest Expense,4422000.0,3594000.0,3594000.0,9261000.0
Interest Income,22101000.0,5383000.0,762000.0,4232000.0
Normalized Income,-78887426.355988,-128423000.0,-107455000.0,-68903000.0
Net Income From Continuing And Discontinued Operation,-75189000.0,-128423000.0,-107455000.0,-68903000.0
Total Expenses,526945000.0,500170000.0,383107000.0,279838000.0
Total Operating Income As Reported,-96246000.0,-129377000.0,-101711000.0,-66282000.0
Diluted Average Shares,92341000.0,88721000.0,84514000.0,79614000.0
Basic Average Shares,92341000.0,88721000.0,84514000.0,79614000.0
Diluted EPS,-0.89,-1.45,-1.27,-0.87
Basic EPS,-0.89,-1.45,-1.27,-0.87
Diluted NI Availto Com Stockholders,-81757000.0,-128423000.0,-107455000.0,-68903000.0
Net Income Common Stockholders,-81757000.0,-128423000.0,-107455000.0,-68903000.0
Otherunder Preferred Stock Dividend,6568000.0,0.0,0.0,
Net Income,-75189000.0,-128423000.0,-107455000.0,-68903000.0
Minority Interests,2178000.0,802000.0,0.0,0.0
Net Income Including Noncontrolling Interests,-77367000.0,-129225000.0,-107455000.0,-68903000.0
Net Income Continuous Operations,-77367000.0,-129225000.0,-107455000.0,-68903000.0
Tax Provision,-12000.0,-839000.0,535000.0,-3906000.0
Pretax Income,-77379000.0,-130064000.0,-106920000.0,-72809000.0
Other Income Expense,3266000.0,-637000.0,-573000.0,-794000.0
Other Non Operating Income Expenses,-433000.0,-637000.0,-573000.0,-794000.0
Special Income Charges,3699000.0,0.0,0.0,
Other Special Charges,-3699000.0,,,
Net Non Operating Interest Income Expense,15601000.0,-50000.0,-4636000.0,-5733000.0
Total Other Finance Cost,2078000.0,1839000.0,1804000.0,704000.0
Interest Expense Non Operating,4422000.0,3594000.0,3594000.0,9261000.0
Interest Income Non Operating,22101000.0,5383000.0,762000.0,4232000.0
Operating Income,-96246000.0,-129377000.0,-101711000.0,-66282000.0
Operating Expense,449113000.0,429736000.0,334746000.0,249152000.0
Research And Development,139769000.0,134876000.0,95690000.0,64566000.0
Selling General And Administration,309344000.0,294860000.0,239056000.0,184586000.0
Selling And Marketing Expense,196769000.0,195622000.0,161624000.0,122155000.0
General And Administrative Expense,112575000.0,99238000.0,77432000.0,62431000.0
Other Gand A,112575000.0,99238000.0,77432000.0,62431000.0
Gross Profit,352867000.0,300359000.0,233035000.0,182870000.0
Cost Of Revenue,77832000.0,70434000.0,48361000.0,30686000.0
Total Revenue,430699000.0,370793000.0,281396000.0,213556000.0
Operating Revenue,430699000.0,370793000.0,281396000.0,213556000.0
