,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,173405016.0,166658253.0,162840360.0,160469325.0,
Share Issued,173405016.0,166658253.0,162840360.0,160469325.0,
Net Debt,243814000.0,415013000.0,617106000.0,332191000.0,
Total Debt,1584613000.0,1592277000.0,1586922000.0,1280131000.0,
Tangible Book Value,-223471000.0,-424898000.0,-602210000.0,-368695000.0,
Invested Capital,3033220000.0,3864761000.0,3843033000.0,17271428000.0,
Working Capital,722372000.0,1068432000.0,915619000.0,894426000.0,
Net Tangible Assets,-223471000.0,-424898000.0,-602210000.0,-368695000.0,
Capital Lease Obligations,42472000.0,53589000.0,51634000.0,54460000.0,
Common Stock Equity,1491079000.0,2326073000.0,2307745000.0,16045757000.0,
Total Capitalization,2482497000.0,3864761000.0,3843033000.0,17271428000.0,
Total Equity Gross Minority Interest,1491079000.0,2326073000.0,2307745000.0,16045757000.0,
Stockholders Equity,1491079000.0,2326073000.0,2307745000.0,16045757000.0,
Gains Losses Not Affecting Retained Earnings,-38388000.0,-36990000.0,-42776000.0,-6285000.0,
Other Equity Adjustments,-38388000.0,-36990000.0,-42776000.0,-6285000.0,
Retained Earnings,-16229900000.0,-15228655000.0,-15008287000.0,-1421454000.0,
Additional Paid In Capital,17759194000.0,17591551000.0,17358645000.0,17473336000.0,
Capital Stock,173000.0,167000.0,163000.0,160000.0,
Common Stock,173000.0,167000.0,163000.0,160000.0,
Total Liabilities Net Minority Interest,2025445000.0,2066296000.0,2037610000.0,1688851000.0,
Total Non Current Liabilities Net Minority Interest,1083910000.0,1645680000.0,1637841000.0,1357838000.0,
Other Non Current Liabilities,720000.0,1080000.0,1618000.0,10783000.0,
Tradeand Other Payables Non Current,,,,,9926000.0
Non Current Deferred Liabilities,59637000.0,63075000.0,62893000.0,79611000.0,
Non Current Deferred Revenue,9786000.0,13623000.0,11954000.0,3834000.0,
Non Current Deferred Taxes Liabilities,49851000.0,49452000.0,50939000.0,75777000.0,
Long Term Debt And Capital Lease Obligation,1023553000.0,1581525000.0,1573330000.0,1267444000.0,
Long Term Capital Lease Obligation,32135000.0,42837000.0,38042000.0,41773000.0,
Long Term Debt,991418000.0,1538688000.0,1535288000.0,1225671000.0,
Current Liabilities,941535000.0,420616000.0,399769000.0,331013000.0,
Other Current Liabilities,32463000.0,38112000.0,44859000.0,40266000.0,
Current Deferred Liabilities,79296000.0,95659000.0,101832000.0,75569000.0,
Current Deferred Revenue,79296000.0,95659000.0,101832000.0,75569000.0,
Current Debt And Capital Lease Obligation,561060000.0,10752000.0,13592000.0,12687000.0,
Current Capital Lease Obligation,10337000.0,10752000.0,13592000.0,12687000.0,
Current Debt,550723000.0,,,,42560000.0
Other Current Borrowings,550723000.0,,,,42560000.0
Pensionand Other Post Retirement Benefit Plans Current,76229000.0,102686000.0,81554000.0,91941000.0,
Current Provisions,,,,,7215000.0
Payables And Accrued Expenses,192487000.0,173407000.0,157932000.0,110550000.0,
Current Accrued Expenses,131245000.0,116837000.0,95431000.0,50230000.0,
Interest Payable,1483000.0,1481000.0,1480000.0,1480000.0,
Payables,61242000.0,56570000.0,62501000.0,60320000.0,
Other Payable,,,,,13453000.0
Total Tax Payable,28112000.0,12933000.0,14811000.0,13063000.0,
Income Tax Payable,,621000.0,3817000.0,3098000.0,1627000.0
Accounts Payable,33130000.0,43637000.0,47690000.0,47257000.0,
Total Assets,3516524000.0,4392369000.0,4345355000.0,17734608000.0,
Total Non Current Assets,1852617000.0,2903321000.0,3029967000.0,16509169000.0,
Other Non Current Assets,81488000.0,80258000.0,48540000.0,20703000.0,
Goodwill And Other Intangible Assets,1714550000.0,2750971000.0,2909955000.0,16414452000.0,
Other Intangible Assets,1431360000.0,1677781000.0,1836765000.0,1910278000.0,
Goodwill,283190000.0,1073190000.0,1073190000.0,14504174000.0,
Net PPE,56579000.0,72092000.0,71472000.0,74014000.0,
Accumulated Depreciation,-71356000.0,-59739000.0,-47712000.0,-34130000.0,
Gross PPE,127935000.0,131831000.0,119184000.0,108144000.0,
Leases,25332000.0,24293000.0,13298000.0,12983000.0,
Construction In Progress,603000.0,1719000.0,7193000.0,1929000.0,
Other Properties,42989000.0,55166000.0,54510000.0,57798000.0,
Machinery Furniture Equipment,59011000.0,50653000.0,44183000.0,35434000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1663907000.0,1489048000.0,1315388000.0,1225439000.0,
Other Current Assets,2828000.0,7443000.0,12104000.0,5660000.0,
Current Deferred Assets,33188000.0,32703000.0,29956000.0,22304000.0,
Prepaid Assets,67471000.0,65651000.0,63159000.0,38255000.0,
Inventory,38138000.0,29513000.0,56342000.0,73079000.0,
Inventories Adjustments Allowances,,,-6194000.0,-5204000.0,
Finished Goods,23079000.0,19876000.0,30148000.0,49146000.0,
Work In Process,600000.0,299000.0,394000.0,597000.0,
Raw Materials,14459000.0,9338000.0,25800000.0,28540000.0,
Receivables,223955000.0,230063000.0,235645000.0,190124000.0,
Other Receivables,9809000.0,12640000.0,25091000.0,21168000.0,
Accounts Receivable,214146000.0,217423000.0,210554000.0,168956000.0,
Allowance For Doubtful Accounts Receivable,-5134000.0,-4240000.0,-4324000.0,-12384000.0,
Gross Accounts Receivable,219280000.0,221663000.0,214878000.0,181340000.0,
Cash Cash Equivalents And Short Term Investments,1298327000.0,1123675000.0,918182000.0,896017000.0,
Other Short Term Investments,,,0.0,2537000.0,53245000.0
Cash And Cash Equivalents,1298327000.0,1123675000.0,918182000.0,893480000.0,
