,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,169628000.0,193673000.0,16528000.0,130056000.0,
Repayment Of Debt,,,0.0,-139000.0,-238153000.0
Issuance Of Debt,,,0.0,0.0,1000000000.0
Capital Expenditure,-124052000.0,-156348000.0,-172764000.0,-63934000.0,
Interest Paid Supplemental Data,17322000.0,17422000.0,17361000.0,18837000.0,
Income Tax Paid Supplemental Data,8946000.0,7238000.0,2512000.0,3974000.0,
End Cash Position,1298327000.0,1123675000.0,918182000.0,893480000.0,
Beginning Cash Position,1123675000.0,918182000.0,893480000.0,733324000.0,
Effect Of Exchange Rate Changes,-3288000.0,965000.0,-3344000.0,-1800000.0,
Changes In Cash,177940000.0,204528000.0,28046000.0,161956000.0,
Financing Cash Flow,8312000.0,10854000.0,6497000.0,40947000.0,
Cash Flow From Continuing Financing Activities,8312000.0,10854000.0,6497000.0,40947000.0,
Net Other Financing Charges,-2000.0,-278000.0,-5888000.0,-1644000.0,
Proceeds From Stock Option Exercised,8314000.0,11132000.0,12385000.0,42591000.0,
Net Issuance Payments Of Debt,,,0.0,-139000.0,761847000.0
Net Long Term Debt Issuance,,,0.0,-139000.0,761847000.0
Long Term Debt Payments,,,0.0,-139000.0,-238153000.0
Long Term Debt Issuance,,,0.0,0.0,1000000000.0
Investing Cash Flow,-124052000.0,-156347000.0,-167743000.0,-72981000.0,
Cash Flow From Continuing Investing Activities,-124052000.0,-156347000.0,-167743000.0,-72981000.0,
Net Other Investing Changes,,1000.0,2514000.0,8715000.0,
Net Investment Purchase And Sale,0.0,0.0,2507000.0,60901000.0,
Sale Of Investment,0.0,0.0,2507000.0,60901000.0,
Net Business Purchase And Sale,,0.0,0.0,-78663000.0,-567429000.0
Purchase Of Business,,0.0,0.0,-78663000.0,-567429000.0
Net Intangibles Purchase And Sale,,,,-55400000.0,-22018000.0
Purchase Of Intangibles,,,,-55400000.0,-22018000.0
Capital Expenditure Reported,-124052000.0,-156348000.0,-172764000.0,-63934000.0,
Operating Cash Flow,293680000.0,350021000.0,189292000.0,193990000.0,
Cash Flow From Continuing Operating Activities,293680000.0,350021000.0,189292000.0,193990000.0,
Change In Working Capital,-36315000.0,11643000.0,-48388000.0,-43986000.0,
Change In Other Working Capital,-18246000.0,-4900000.0,15240000.0,20554000.0,
Change In Other Current Liabilities,-11190000.0,-10773000.0,-11325000.0,-13925000.0,
Change In Other Current Assets,-1257000.0,-23052000.0,-27767000.0,-3547000.0,
Change In Payables And Accrued Expense,-686000.0,24064000.0,50803000.0,14688000.0,
Change In Accrued Expense,9679000.0,28249000.0,48927000.0,13500000.0,
Change In Payable,-10365000.0,-4185000.0,1876000.0,1188000.0,
Change In Account Payable,-10365000.0,-4185000.0,1876000.0,1188000.0,
Change In Prepaid Assets,5188000.0,12461000.0,-41081000.0,-31090000.0,
Change In Inventory,-9749000.0,24095000.0,14800000.0,-19494000.0,
Change In Receivables,-375000.0,-10252000.0,-49058000.0,-11172000.0,
Changes In Account Receivables,-375000.0,-10252000.0,-49058000.0,-11172000.0,
Other Non Cash Items,9796000.0,5692000.0,13788000.0,57408000.0,
Stock Based Compensation,145951000.0,201550000.0,217852000.0,302586000.0,
Provisionand Write Offof Assets,3795000.0,4686000.0,2815000.0,10603000.0,
Asset Impairment Charge,790000000.0,0.0,13402812000.0,0.0,
Deferred Tax,-1145000.0,-1903000.0,-7840000.0,41800000.0,
Deferred Income Tax,-1145000.0,-1903000.0,-7840000.0,41800000.0,
Depreciation Amortization Depletion,382843000.0,348721000.0,267784000.0,219621000.0,
Depreciation And Amortization,382843000.0,348721000.0,267784000.0,219621000.0,
Amortization Cash Flow,363365000.0,325933000.0,244620000.0,195298000.0,
Amortization Of Intangibles,363365000.0,325933000.0,244620000.0,195298000.0,
Depreciation,19478000.0,22788000.0,23164000.0,24323000.0,
Operating Gains Losses,,,,34751000.0,9077000.0
Gain Loss On Investment Securities,,,,-5901000.0,
Net Income From Continuing Operations,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
