,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-170540580.0,-7990920.0,0.0,-19005570.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Normalized EBITDA,225091000.0,189447000.0,52233000.0,-13503000.0,
Total Unusual Items,-812098000.0,-38052000.0,-13425848000.0,-70391000.0,
Total Unusual Items Excluding Goodwill,-812098000.0,-38052000.0,-13425848000.0,-70391000.0,
Net Income From Continuing Operation Net Minority Interest,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Reconciled Depreciation,382843000.0,348721000.0,267784000.0,219621000.0,
Reconciled Cost Of Revenue,741975000.0,748381000.0,732230000.0,634876000.0,
EBITDA,-587007000.0,151395000.0,-13373615000.0,-83894000.0,
EBIT,-969850000.0,-197326000.0,-13641399000.0,-303515000.0,
Net Interest Income,33268000.0,24500000.0,-9270000.0,-80365000.0,
Interest Expense,23803000.0,22282000.0,21944000.0,81141000.0,
Interest Income,57071000.0,46782000.0,12674000.0,776000.0,
Normalized Income,-359687580.0,-190306920.0,-233683000.0,-377407570.0,
Net Income From Continuing And Discontinued Operation,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Total Expenses,2778362000.0,2812916000.0,2634206000.0,2271695000.0,
Total Operating Income As Reported,-1020886000.0,-248553000.0,-13653214000.0,-265631000.0,
Diluted Average Shares,170564088.0,162169564.0,161457123.0,156939349.0,
Basic Average Shares,170564088.0,162169564.0,161457123.0,156939349.0,
Diluted EPS,-5.87,-1.34,-84.6,-2.73,
Basic EPS,-5.87,-1.34,-84.6,-2.73,
Diluted NI Availto Com Stockholders,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Net Income Common Stockholders,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Net Income,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Net Income Including Noncontrolling Interests,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Net Income Continuous Operations,-1001245000.0,-220368000.0,-13659531000.0,-428793000.0,
Tax Provision,7592000.0,760000.0,-3812000.0,44137000.0,
Pretax Income,-993653000.0,-219608000.0,-13663343000.0,-384656000.0,
Other Income Expense,-818133000.0,-33607000.0,-13426707000.0,-65303000.0,
Other Non Operating Income Expenses,-6035000.0,4445000.0,-859000.0,5088000.0,
Special Income Charges,-812098000.0,-38052000.0,-13425848000.0,-70391000.0,
Gain On Sale Of Ppe,,,,,0.0
Other Special Charges,,,,43748000.0,9077000.0
Impairment Of Capital Assets,790000000.0,0.0,13402812000.0,0.0,
Restructuring And Mergern Acquisition,22098000.0,38052000.0,23036000.0,26643000.0,
Net Non Operating Interest Income Expense,33268000.0,24500000.0,-9270000.0,-80365000.0,
Interest Expense Non Operating,23803000.0,22282000.0,21944000.0,81141000.0,
Interest Income Non Operating,57071000.0,46782000.0,12674000.0,776000.0,
Operating Income,-208788000.0,-210501000.0,-227366000.0,-238988000.0,
Operating Expense,2027092000.0,2052885000.0,1890219000.0,1621437000.0,
Depreciation Amortization Depletion Income Statement,373548000.0,337071000.0,256027000.0,204239000.0,
Depreciation And Amortization In Income Statement,373548000.0,337071000.0,256027000.0,204239000.0,
Amortization,363365000.0,325933000.0,244620000.0,195298000.0,
Amortization Of Intangibles Income Statement,363365000.0,325933000.0,244620000.0,195298000.0,
Depreciation Income Statement,10183000.0,11138000.0,11407000.0,8941000.0,
Research And Development,307274000.0,348521000.0,333629000.0,311884000.0,
Selling General And Administration,1346270000.0,1367293000.0,1300563000.0,1105314000.0,
Selling And Marketing Expense,910780000.0,902634000.0,850708000.0,667307000.0,
General And Administrative Expense,435490000.0,464659000.0,449855000.0,438007000.0,
Other Gand A,435490000.0,464659000.0,449855000.0,438007000.0,
Gross Profit,1818304000.0,1842384000.0,1662853000.0,1382449000.0,
Cost Of Revenue,751270000.0,760031000.0,743987000.0,650258000.0,
Total Revenue,2569574000.0,2602415000.0,2406840000.0,2032707000.0,
Operating Revenue,2215220000.0,2282521000.0,2103814000.0,1740170000.0,
