,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,152610697.0,181945771.0,185975709.0,180468099.0,
Share Issued,152610697.0,181945771.0,185975709.0,180468099.0,
Net Debt,569290000.0,333022000.0,335630000.0,,
Total Debt,1110147000.0,1159595000.0,1239316000.0,1286987000.0,
Tangible Book Value,2352789000.0,4032059000.0,4166971000.0,4519699000.0,
Invested Capital,8943553000.0,10721505000.0,11546424000.0,12017373000.0,
Working Capital,2627079000.0,4165675000.0,4175928000.0,5228678000.0,
Net Tangible Assets,2352789000.0,4032059000.0,4166971000.0,4519699000.0,
Capital Lease Obligations,119560000.0,170642000.0,251934000.0,301080000.0,
Common Stock Equity,7952966000.0,9732552000.0,10559042000.0,11031466000.0,
Total Capitalization,8943553000.0,10721505000.0,11546424000.0,12017373000.0,
Total Equity Gross Minority Interest,7952966000.0,9732552000.0,10559042000.0,11031466000.0,
Stockholders Equity,7952966000.0,9732552000.0,10559042000.0,11031466000.0,
Gains Losses Not Affecting Retained Earnings,-1301000.0,619000.0,-121161000.0,-18141000.0,
Other Equity Adjustments,-1301000.0,619000.0,-121161000.0,-18141000.0,
Retained Earnings,-7522010000.0,-5065972000.0,-3375836000.0,-2119691000.0,
Additional Paid In Capital,15476124000.0,14797723000.0,14055853000.0,13169118000.0,
Capital Stock,153000.0,182000.0,186000.0,180000.0,
Common Stock,153000.0,182000.0,186000.0,180000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1912506000.0,1877155000.0,2005262000.0,1967132000.0,
Total Non Current Liabilities Net Minority Interest,1092286000.0,1138858000.0,1197104000.0,1263582000.0,
Other Non Current Liabilities,15824000.0,29135000.0,23881000.0,41290000.0,
Non Current Accrued Expenses,,,,,14149000.0
Non Current Deferred Liabilities,,,,,13684000.0
Non Current Deferred Taxes Liabilities,,,,,13684000.0
Long Term Debt And Capital Lease Obligation,1076462000.0,1109723000.0,1173223000.0,1222292000.0,
Long Term Capital Lease Obligation,85875000.0,120770000.0,185841000.0,236385000.0,
Long Term Debt,990587000.0,988953000.0,987382000.0,985907000.0,
Current Liabilities,820220000.0,738297000.0,808158000.0,703550000.0,
Other Current Liabilities,318000.0,29086000.0,1066000.0,,184000.0
Current Deferred Liabilities,155680000.0,144499000.0,139110000.0,140389000.0,
Current Deferred Revenue,155680000.0,144499000.0,139110000.0,140389000.0,
Current Debt And Capital Lease Obligation,33685000.0,49872000.0,66093000.0,64695000.0,
Current Capital Lease Obligation,33685000.0,49872000.0,66093000.0,64695000.0,
Pensionand Other Post Retirement Benefit Plans Current,109776000.0,0.0,39182000.0,64665000.0,
Payables And Accrued Expenses,520761000.0,514840000.0,562707000.0,433801000.0,
Current Accrued Expenses,340861000.0,324312000.0,345783000.0,278493000.0,
Payables,179900000.0,190528000.0,216924000.0,155308000.0,
Total Tax Payable,79731000.0,70913000.0,92319000.0,61975000.0,
Accounts Payable,100169000.0,119615000.0,124605000.0,93333000.0,
Total Assets,9865472000.0,11609707000.0,12564304000.0,12998598000.0,
Total Non Current Assets,6418173000.0,6705735000.0,7580218000.0,7066370000.0,
Other Non Current Assets,206122000.0,234799000.0,360899000.0,263292000.0,
Investments And Advances,485835000.0,593582000.0,699911000.0,0.0,
Long Term Equity Investment,485835000.0,593582000.0,699911000.0,0.0,
Goodwill And Other Intangible Assets,5600177000.0,5700493000.0,6392071000.0,6511767000.0,
Other Intangible Assets,356911000.0,457227000.0,1107918000.0,1248601000.0,
Goodwill,5243266000.0,5243266000.0,5284153000.0,5263166000.0,
Net PPE,126039000.0,176861000.0,127337000.0,291311000.0,
Accumulated Depreciation,-146562000.0,-184058000.0,-286296000.0,-191018000.0,
Gross PPE,272601000.0,360919000.0,413633000.0,482329000.0,
Leases,78104000.0,92315000.0,91660000.0,85297000.0,
Other Properties,117077000.0,178502000.0,221548000.0,312530000.0,
Machinery Furniture Equipment,77420000.0,90102000.0,100425000.0,84502000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3447299000.0,4903972000.0,4984086000.0,5932228000.0,
Other Current Assets,140449000.0,132354000.0,281510000.0,186131000.0,
Prepaid Assets,333911000.0,196850000.0,,186131000.0,81377000.0
Receivables,588540000.0,562773000.0,547507000.0,388215000.0,
Accounts Receivable,588540000.0,562773000.0,547507000.0,388215000.0,
Allowance For Doubtful Accounts Receivable,-27500000.0,-42000000.0,,,-12046000.0
Gross Accounts Receivable,616040000.0,604773000.0,,,263213000.0
Cash Cash Equivalents And Short Term Investments,2384399000.0,4011995000.0,4155069000.0,5357882000.0,
Other Short Term Investments,1963102000.0,3356064000.0,3503317000.0,3878430000.0,
Cash And Cash Equivalents,421297000.0,655931000.0,651752000.0,1479452000.0,
