,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,657455000.0,363517000.0,-334550000.0,-148213000.0,
Repurchase Of Capital Stock,-2334400000.0,-668751000.0,0.0,,
Repayment Of Debt,-12558000.0,-16134000.0,-13423000.0,-8295000.0,
Issuance Of Debt,,0.0,0.0,984723000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,1766400000.0,1408750000.0
Capital Expenditure,-58786000.0,-51235000.0,-80182000.0,-90021000.0,
Interest Paid Supplemental Data,37904000.0,38389000.0,37500000.0,20637000.0,
Income Tax Paid Supplemental Data,36547000.0,37818000.0,7413000.0,6147000.0,
End Cash Position,431437000.0,655931000.0,656078000.0,1481831000.0,
Beginning Cash Position,655931000.0,656078000.0,1481831000.0,933885000.0,
Effect Of Exchange Rate Changes,0.0,108000.0,60000.0,-191000.0,
Changes In Cash,-224494000.0,-255000.0,-825813000.0,548137000.0,
Financing Cash Flow,-2311572000.0,-643610000.0,45007000.0,3096325000.0,
Cash Flow From Continuing Financing Activities,-2311572000.0,-643610000.0,45007000.0,3096325000.0,
Net Other Financing Charges,-2000000.0,-2565000.0,-1133000.0,217337000.0,
Proceeds From Stock Option Exercised,37386000.0,43840000.0,59563000.0,136160000.0,
Net Common Stock Issuance,-2334400000.0,-668751000.0,0.0,1766400000.0,
Common Stock Payments,-2334400000.0,-668751000.0,0.0,,
Common Stock Issuance,,0.0,0.0,1766400000.0,1408750000.0
Net Issuance Payments Of Debt,-12558000.0,-16134000.0,-13423000.0,976428000.0,
Net Long Term Debt Issuance,-12558000.0,-16134000.0,-13423000.0,976428000.0,
Long Term Debt Payments,-12558000.0,-16134000.0,-13423000.0,-8295000.0,
Long Term Debt Issuance,,0.0,0.0,984723000.0,0.0
Investing Cash Flow,1370837000.0,228603000.0,-616452000.0,-2489996000.0,
Cash Flow From Continuing Investing Activities,1370837000.0,228603000.0,-616452000.0,-2489996000.0,
Net Investment Purchase And Sale,1429623000.0,247414000.0,-498860000.0,-1908453000.0,
Sale Of Investment,2353486000.0,2200417000.0,1439477000.0,1614779000.0,
Purchase Of Investment,-923863000.0,-1953003000.0,-1938337000.0,-3523232000.0,
Net Business Purchase And Sale,0.0,32424000.0,-37410000.0,-491522000.0,
Sale Of Business,0.0,38194000.0,0.0,,
Purchase Of Business,0.0,-5770000.0,-37410000.0,,-333591000.0
Net PPE Purchase And Sale,-6978000.0,-11310000.0,-34421000.0,-46048000.0,
Purchase Of PPE,-6978000.0,-11310000.0,-34421000.0,-46048000.0,
Capital Expenditure Reported,-51808000.0,-39925000.0,-45761000.0,-43973000.0,
Operating Cash Flow,716241000.0,414752000.0,-254368000.0,-58192000.0,
Cash Flow From Continuing Operating Activities,716241000.0,414752000.0,-254368000.0,-58192000.0,
Change In Working Capital,-234141000.0,-230645000.0,-396643000.0,-185113000.0,
Change In Other Working Capital,11181000.0,5371000.0,-2688000.0,45634000.0,
Change In Other Current Liabilities,-50793000.0,-52866000.0,-64282000.0,-51312000.0,
Change In Other Current Assets,-47077000.0,-2328000.0,-146458000.0,-121225000.0,
Change In Payables And Accrued Expense,67178000.0,-39446000.0,105766000.0,137745000.0,
Change In Accrued Expense,87434000.0,-51816000.0,75430000.0,127554000.0,
Change In Payable,-20256000.0,12370000.0,30336000.0,10191000.0,
Change In Account Payable,-20256000.0,12370000.0,30336000.0,10191000.0,
Change In Prepaid Assets,-153470000.0,-56283000.0,-94326000.0,-78012000.0,
Change In Receivables,-61160000.0,-85093000.0,-194655000.0,-117943000.0,
Changes In Account Receivables,-61160000.0,-85093000.0,-194655000.0,-117943000.0,
Other Non Cash Items,106359000.0,119878000.0,119519000.0,113825000.0,
Stock Based Compensation,616607000.0,675857000.0,798560000.0,632285000.0,
Provisionand Write Offof Assets,35393000.0,51859000.0,35012000.0,7210000.0,
Asset Impairment Charge,8220000.0,366658000.0,97722000.0,0.0,
Amortization Of Securities,-22940000.0,-44000.0,33165000.0,36158000.0,
Deferred Tax,,,,-17236000.0,-16459000.0
Deferred Income Tax,,,,-17236000.0,-16459000.0
Depreciation Amortization Depletion,205984000.0,284413000.0,279127000.0,258378000.0,
Depreciation And Amortization,205984000.0,284413000.0,279127000.0,258378000.0,
Operating Gains Losses,110162000.0,162217000.0,35315000.0,28965000.0,
Earnings Losses From Equity Investments,108481000.0,121897000.0,35315000.0,0.0,
Gain Loss On Investment Securities,1681000.0,8043000.0,,,
Net Income From Continuing Operations,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0,
