,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-4513530.0,-111802110.0,-36615180.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.02
Normalized EBITDA,187042000.0,426500000.0,-577465000.0,-657206000.0
Total Unusual Items,-21493000.0,-532391000.0,-174358000.0,0.0
Total Unusual Items Excluding Goodwill,-21493000.0,-532391000.0,-174358000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Reconciled Depreciation,205984000.0,284413000.0,279127000.0,258378000.0
Reconciled Cost Of Revenue,2021096000.0,1902730000.0,1815465000.0,1451126000.0
EBITDA,165549000.0,-105891000.0,-751823000.0,-657206000.0
EBIT,-40435000.0,-390304000.0,-1030950000.0,-915584000.0
Normalized Income,-92423530.0,-594852110.0,-1118402180.0,-949900000.0
Net Income From Continuing And Discontinued Operation,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Total Expenses,4498471000.0,4544249000.0,4857271000.0,3757423000.0
Total Operating Income As Reported,-53708000.0,-876541000.0,-1205308000.0,-915584000.0
Diluted Average Shares,165925128.0,183327844.0,182994038.0,174180465.0
Basic Average Shares,165925128.0,183327844.0,182994038.0,174180465.0
Diluted EPS,-0.66,-5.54,-6.86,-5.45
Basic EPS,-0.66,-5.54,-6.86,-5.45
Diluted NI Availto Com Stockholders,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Net Income Common Stockholders,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Net Income,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Net Income Including Noncontrolling Interests,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Net Income Continuous Operations,-109403000.0,-1015441000.0,-1256145000.0,-949900000.0
Tax Provision,20790000.0,18712000.0,12513000.0,-11029000.0
Pretax Income,-88613000.0,-996729000.0,-1243632000.0,-960929000.0
Other Income Expense,-48178000.0,-606425000.0,-212682000.0,-45345000.0
Other Non Operating Income Expenses,81796000.0,47863000.0,-3009000.0,-45345000.0
Special Income Charges,-21493000.0,-532391000.0,-174358000.0,0.0
Write Off,8220000.0,46154000.0,0.0,0.0
Impairment Of Capital Assets,0.0,320504000.0,97722000.0,0.0
Restructuring And Mergern Acquisition,13273000.0,165733000.0,76636000.0,0.0
Earnings From Equity Interest,-108481000.0,-121897000.0,-35315000.0,0.0
Operating Income,-40435000.0,-390304000.0,-1030950000.0,-915584000.0
Operating Expense,2318647000.0,2434234000.0,2844527000.0,2306297000.0
Depreciation Amortization Depletion Income Statement,47256000.0,77128000.0,81848000.0,
Depreciation And Amortization In Income Statement,47256000.0,77128000.0,81848000.0,
Amortization,47256000.0,77128000.0,81848000.0,
Amortization Of Intangibles Income Statement,47256000.0,77128000.0,81848000.0,
Research And Development,1008747000.0,942790000.0,1079081000.0,789219000.0
Selling General And Administration,1262644000.0,1414316000.0,1683598000.0,1517078000.0
Selling And Marketing Expense,813573000.0,945857000.0,1166191000.0,1044618000.0
General And Administrative Expense,449071000.0,468459000.0,517407000.0,472460000.0
Other Gand A,449071000.0,468459000.0,517407000.0,472460000.0
Gross Profit,2278212000.0,2043930000.0,1813577000.0,1390713000.0
Cost Of Revenue,2179824000.0,2110015000.0,2012744000.0,1451126000.0
Total Revenue,4458036000.0,4153945000.0,3826321000.0,2841839000.0
Operating Revenue,4458036000.0,4153945000.0,3826321000.0,2841839000.0
